,B_Dey1.jpg_persistence.pkl,B_Dey10.jpeg_persistence.pkl,B_Dey2.jpg_persistence.pkl,B_Dey3.jpeg_persistence.pkl,B_Dey4.jpg_persistence.pkl,B_Dey5.jpg_persistence.pkl,B_Dey6.jpg_persistence.pkl,B_Dey7.jpeg_persistence.pkl,B_Dey8.jpg_persistence.pkl,B_Dey9.jpg_persistence.pkl,B_Gen1.jpg_persistence.pkl,B_Gen10.jpg_persistence.pkl,B_Gen2.jpg_persistence.pkl,B_Gen3.jpg_persistence.pkl,B_Gen4.png_persistence.pkl,B_Gen5.jpeg_persistence.pkl,B_Gen6.jpg_persistence.pkl,B_Gen7.jpg_persistence.pkl,B_Gen8.jpg_persistence.pkl,B_Gen9.jpg_persistence.pkl,B_Goya1.jpg_persistence.pkl,B_Goya10.jpg_persistence.pkl,B_Goya2.jpg_persistence.pkl,B_Goya3.jpg_persistence.pkl,B_Goya4.jpg_persistence.pkl,B_Goya5.jpg_persistence.pkl,B_Goya6.jpg_persistence.pkl,B_Goya7.jpg_persistence.pkl,B_Goya8.jpg_persistence.pkl,B_Goya9.jpg_persistence.pkl,B_Klimt1.jpg_persistence.pkl,B_Klimt10.jpeg_persistence.pkl,B_Klimt2.jpg_persistence.pkl,B_Klimt3.jpg_persistence.pkl,B_Klimt4.jpg_persistence.pkl,B_Klimt5.jpg_persistence.pkl,B_Klimt6.jpg_persistence.pkl,B_Klimt7.jpg_persistence.pkl,B_Klimt8.jpg_persistence.pkl,B_Klimt9.jpg_persistence.pkl,B_Mithila1.jpg_persistence.pkl,B_Mithila10.jpg_persistence.pkl,B_Mithila2.jpg_persistence.pkl,B_Mithila3.jpg_persistence.pkl,B_Mithila4.jpeg_persistence.pkl,B_Mithila5.jpg_persistence.pkl,B_Mithila6.jpg_persistence.pkl,B_Mithila7.jpeg_persistence.pkl,B_Mithila8.jpeg_persistence.pkl,B_Mithila9.jpg_persistence.pkl,B_Raja1.jpg_persistence.pkl,B_Raja10.jpg_persistence.pkl,B_Raja2.jpg_persistence.pkl,B_Raja3.jpg_persistence.pkl,B_Raja4.jpg_persistence.pkl,B_Raja5.jpeg_persistence.pkl,B_Raja6.jpg_persistence.pkl,B_Raja7.jpg_persistence.pkl,B_Raja8.jpg_persistence.pkl,B_Raja9.jpg_persistence.pkl,B_Ren1.jpg_persistence.pkl,B_Ren10.jpg_persistence.pkl,B_Ren2.jpg_persistence.pkl,B_Ren3.jpg_persistence.pkl,B_Ren4.jpg_persistence.pkl,B_Ren5.jpg_persistence.pkl,B_Ren6.jpg_persistence.pkl,B_Ren7.jpg_persistence.pkl,B_Ren8.jpg_persistence.pkl,B_Ren9.jpeg_persistence.pkl,B_Robert1.jpg_persistence.pkl,B_Robert10.jpg_persistence.pkl,B_Robert2.jpg_persistence.pkl,B_Robert3.jpg_persistence.pkl,B_Robert4.jpg_persistence.pkl,B_Robert5.jpg_persistence.pkl,B_Robert6.jpg_persistence.pkl,B_Robert7.jpg_persistence.pkl,B_Robert8.jpg_persistence.pkl,B_Robert9.jpg_persistence.pkl,B_Sid1.jpeg_persistence.pkl,B_Sid10.jpg_persistence.pkl,B_Sid2.jpeg_persistence.pkl,B_Sid3.jpg_persistence.pkl,B_Sid4.jpg_persistence.pkl,B_Sid5.jpeg_persistence.pkl,B_Sid6.jpeg_persistence.pkl,B_Sid7.jpg_persistence.pkl,B_Sid8.jpg_persistence.pkl,B_Sid9.jpg_persistence.pkl,B_Vin1.jpg_persistence.pkl,B_Vin10.jpg_persistence.pkl,B_Vin2.jpg_persistence.pkl,B_Vin3.jpg_persistence.pkl,B_Vin4.jpg_persistence.pkl,B_Vin5.jpg_persistence.pkl,B_Vin6.jpg_persistence.pkl,B_Vin7.jpg_persistence.pkl,B_Vin8.jpeg_persistence.pkl,B_Vin9.jpg_persistence.pkl
B_Dey1.jpg_persistence.pkl,0.0,7735.0,7066.5,7509.0,12116.5,7397.5,7465.5,16419.0,7304.5,5628.5,11626.5,9037.5,6887.0,5699.5,9501.0,9229.5,10732.5,10057.5,6854.0,8860.5,8799.5,8780.5,7409.0,9547.0,7484.5,8186.5,11386.0,10353.5,11008.5,9480.5,7614.0,12683.0,15274.0,14899.5,24598.0,6424.5,12647.0,16119.0,11258.0,9134.5,25764.5,37594.0,13330.5,18360.0,24603.5,13241.0,23744.0,20716.0,13605.5,13021.5,7974.5,7334.0,9386.0,9073.5,7707.5,7362.5,7837.5,8289.0,8202.0,6752.0,4123.5,9594.5,18118.5,11006.5,9528.0,7419.0,6965.5,12017.5,15308.5,4834.0,6936.5,10394.0,5545.5,7131.5,8455.0,7497.5,10464.0,8365.0,7626.0,12758.5,5810.0,12184.0,11305.5,7507.5,7309.5,11130.0,14991.0,8866.5,15962.0,10376.5,15159.5,14893.0,12309.5,15176.5,13970.5,13238.0,13068.0,16221.5,11728.5,9360.5
B_Dey10.jpeg_persistence.pkl,7735.0,0.0,5207.5,6894.5,7928.0,10444.5,4970.5,16627.0,5997.5,6230.0,9248.5,6381.5,7540.5,7796.5,4958.5,6307.5,8534.0,7275.0,7773.5,7831.0,6555.5,6224.0,8080.5,5775.0,5754.5,10262.5,8470.5,8733.0,8405.5,7018.5,11270.5,17751.5,15488.0,16755.0,29574.0,9297.0,13759.5,17276.0,11508.0,10844.0,28427.5,37118.0,19449.0,20035.0,21009.5,15704.0,24868.0,24330.0,11830.5,18768.5,6907.5,9393.0,6778.0,9352.5,6220.5,6885.5,7767.5,11387.0,7356.0,7939.5,10450.5,12911.0,15300.5,13470.0,10055.5,9237.0,12688.5,8834.0,18920.0,4996.0,4451.0,6380.5,5465.5,4771.5,6095.5,4853.5,6244.5,5322.5,7443.5,11356.0,8738.5,11531.5,11994.5,13439.0,11461.5,16331.5,17812.5,10385.5,19502.0,8201.0,15425.0,18637.0,17300.5,14078.0,11364.5,12077.5,16602.0,17929.5,12593.0,13345.5
B_Dey2.jpg_persistence.pkl,7066.5,5207.5,0.0,7673.5,6926.5,11511.5,7336.5,15411.5,7988.0,6250.0,11436.5,8517.5,8496.5,9097.5,7294.5,8724.0,9724.5,9353.5,8745.5,9206.5,7240.0,6385.5,9378.5,7578.5,7840.5,11289.5,10697.0,10571.5,10826.0,8973.5,10636.0,14693.5,12469.0,16649.0,29218.5,10034.5,14296.0,14620.5,10064.0,10604.5,26189.0,34374.0,17296.0,17742.5,19909.5,15814.0,22602.5,21560.0,9981.5,17706.5,7969.0,9464.0,9068.5,7584.5,7511.5,8449.0,7537.5,12585.0,9076.5,8071.5,9383.0,11880.5,13337.0,10842.5,9316.0,7598.5,10970.5,6655.0,17165.0,4366.0,3707.5,8829.0,6269.0,5573.0,7456.5,6691.0,7175.5,6854.0,6190.0,12216.0,8527.0,12856.5,12858.0,13057.0,9710.5,14177.0,17701.0,9804.5,19639.5,9785.0,12310.0,16018.0,15904.5,11363.0,13129.5,9402.5,16113.0,14954.5,10262.0,13175.0
B_Dey3.jpeg_persistence.pkl,7509.0,6894.5,7673.5,0.0,12151.0,8442.0,4035.0,12193.5,4097.0,8248.5,4738.5,3555.5,3837.0,5361.0,6007.0,3949.5,4554.0,3846.5,3815.5,3139.5,4884.0,5209.0,4895.0,4830.5,3625.5,4825.5,4830.5,4450.5,5082.0,3109.5,10123.0,15617.0,18751.5,11605.5,24121.5,5259.0,9013.5,19757.5,9186.5,6485.0,30483.5,40778.0,17369.5,22560.0,25385.0,11240.0,24279.5,23881.0,15806.5,16529.0,3406.0,5861.5,3328.5,7501.5,3806.5,4454.0,5497.0,7668.0,3401.0,6056.5,9419.0,10738.0,19862.5,12904.0,5731.0,11748.5,11772.5,12992.5,20744.5,6569.5,5691.5,5559.0,4158.0,4437.5,5382.5,4756.0,8045.5,4110.5,5162.0,7400.0,6534.0,6039.0,6308.5,10613.0,10025.5,14463.5,11791.0,5308.5,13360.0,8461.5,17754.5,19887.0,16485.5,13190.0,7463.0,14013.0,13561.5,20538.5,15712.0,10789.5
B_Dey4.jpg_persistence.pkl,12116.5,7928.0,6926.5,12151.0,0.0,16429.0,10875.0,19124.0,12338.5,10415.5,14939.5,12171.5,13103.0,13487.5,10204.0,12289.0,13414.5,13161.0,13722.0,13506.5,10013.0,9719.0,14116.5,11107.5,11845.0,16119.0,14269.0,14611.5,14310.5,12795.0,15707.5,18226.0,10683.0,20763.5,33760.0,15277.0,18424.0,14658.5,12674.0,15048.5,25456.0,32023.5,21116.5,17052.0,16899.0,20063.5,22982.5,21340.0,8459.0,22142.0,12330.5,14375.5,12663.5,10996.5,11885.0,12849.5,11673.0,17367.5,13641.5,12219.0,14700.5,16132.5,11111.0,12304.5,13247.0,9785.5,15152.5,5611.0,18059.5,8926.5,7505.5,12076.5,11201.0,9337.5,11598.0,10498.0,9366.5,10755.5,10839.5,15927.5,13594.5,17275.0,17381.5,18526.5,13989.0,18314.0,22343.0,14027.5,24761.5,13070.5,11648.0,17316.5,19493.5,12824.0,16805.0,9947.0,19623.5,13721.5,11314.0,17716.5
B_Dey5.jpg_persistence.pkl,7397.5,10444.5,11511.5,8442.0,16429.0,0.0,7734.5,18128.5,6217.0,9780.5,10821.5,7814.0,6399.0,3906.5,9055.0,7916.0,10740.0,8531.0,6825.0,8303.0,9720.0,10143.0,7963.0,8775.0,6865.0,6869.5,9898.0,9494.5,9860.5,8584.5,6489.0,17321.0,21522.5,16013.5,25328.5,5756.5,14229.5,22205.0,14100.0,10384.5,31914.5,43806.0,17157.0,24561.0,29718.0,13664.5,28588.5,26382.5,19688.0,15729.5,8517.5,8507.5,8138.5,11338.5,8473.0,7548.0,10491.0,6741.0,7250.5,8312.0,7102.0,13506.0,24044.0,16265.5,11056.5,13422.0,10924.5,17060.5,19945.5,9652.0,9901.0,9061.5,5756.0,8493.5,8255.0,7142.5,10943.0,8125.0,9455.0,12148.5,8302.0,10639.0,10323.0,11189.0,11397.5,15774.5,15647.5,10813.5,16125.5,9583.5,20490.0,20146.0,12283.5,18682.5,12714.5,17962.0,15378.5,22093.0,17894.0,8574.0
B_Dey6.jpg_persistence.pkl,7465.5,4970.5,7336.5,4035.0,10875.0,7734.5,0.0,14796.0,2810.0,8160.5,5504.5,3212.0,4007.0,4551.5,4279.5,2775.5,6337.5,3923.5,4934.5,4672.0,4936.5,5408.5,5080.5,4008.5,1900.0,6181.5,5274.0,4937.0,4425.5,3499.5,10901.5,16841.5,18695.0,14281.5,26658.5,5643.5,11465.0,19752.0,10811.0,8403.5,30452.0,40708.0,18381.5,22529.0,24569.5,12795.5,25776.0,24725.5,15499.5,17369.0,4636.5,7373.5,3526.0,8370.5,3810.0,3544.0,6137.0,7105.5,3652.0,6159.0,9578.0,11989.0,19363.5,14185.5,8160.0,11671.5,12014.0,12339.0,20797.5,6513.0,5019.5,3673.0,3921.0,4111.0,3784.5,2591.0,6133.0,2913.0,6039.5,9428.5,7086.0,7804.0,8271.5,11887.5,10449.5,15659.5,14910.0,7850.0,16138.0,7373.0,17459.0,19868.5,16714.5,14599.0,8599.5,13893.5,15168.5,20473.5,15666.0,10675.5
B_Dey7.jpeg_persistence.pkl,16419.0,16627.0,15411.5,12193.5,19124.0,18128.5,14796.0,0.0,15511.5,18002.0,13683.5,13345.5,13259.5,15655.0,15412.5,14969.5,11834.0,13421.0,12647.5,12589.5,12979.5,12999.5,13109.0,13979.0,14669.0,13567.0,12517.0,11586.0,15214.5,13371.5,16341.5,12750.0,21395.5,9187.0,20829.0,14086.0,8579.5,19784.0,10761.5,9315.0,30069.5,40025.5,14021.0,23261.5,28304.0,10971.5,20475.0,20184.5,21232.0,16321.5,11506.5,11859.0,12772.5,11002.0,12621.0,13044.0,11582.5,16165.0,13476.0,13237.0,16784.0,11049.5,23650.0,12147.5,10225.0,17471.5,15355.0,19591.5,22261.0,14740.5,13547.5,16216.5,14502.5,12710.0,14049.5,15287.5,15273.0,13563.0,12025.0,10801.5,12749.5,10114.5,10785.0,15502.0,13150.5,12619.0,9322.0,9513.0,14119.0,17662.0,22179.0,18818.0,17488.0,15443.0,9907.0,16823.5,13642.5,21319.0,18745.0,16933.5
B_Dey8.jpg_persistence.pkl,7304.5,5997.5,7988.0,4097.0,12338.5,6217.0,2810.0,15511.5,0.0,7895.0,5835.0,3166.0,3882.0,3944.5,4735.0,2443.0,6699.5,3712.5,4198.5,4338.0,5439.0,6527.5,5312.5,4662.5,2159.5,5096.5,5096.0,5181.0,4485.0,3693.5,9867.0,16938.5,19197.5,14246.5,25916.0,4745.0,12187.5,20313.0,11462.5,8446.5,30625.0,41424.0,18144.0,22681.5,25808.5,12563.5,26510.5,25224.5,16281.5,16790.0,5119.0,6830.0,3497.5,9080.5,4603.5,4624.5,7272.5,6506.5,2887.5,6730.5,9361.5,12009.5,20411.5,14743.5,8509.0,11946.0,12023.5,13334.5,20717.0,7038.5,6136.0,3725.0,3146.0,4980.0,4836.0,2848.0,6599.0,3603.0,6651.5,9601.5,7149.5,7356.0,8268.5,11438.5,10652.5,15549.0,14459.0,8360.0,15275.5,6594.5,17755.0,20157.0,16390.5,15665.5,8855.0,14943.0,14698.0,20978.5,16083.0,10612.5
B_Dey9.jpg_persistence.pkl,5628.5,6230.0,6250.0,8248.5,10415.5,9780.5,8160.5,18002.0,7895.0,0.0,12141.5,9201.0,9141.0,8687.0,8633.5,9226.5,11052.5,10063.0,8935.0,9978.5,9486.0,9305.0,9844.5,9500.5,8068.0,11165.0,11403.5,11385.0,11378.0,9722.5,8778.0,16445.5,13935.5,17808.0,28834.0,9674.5,15118.5,14407.5,12992.5,11889.0,25609.5,36770.0,17328.5,17453.0,22563.0,16987.0,25107.5,22804.0,11539.5,15812.5,9012.5,9956.0,9726.5,11096.0,8744.0,9296.5,9478.0,12384.5,9324.5,9953.0,8341.0,12541.5,16067.5,12824.5,11615.0,7970.5,10506.5,10320.0,14450.0,5008.0,6505.5,9903.0,6195.0,7163.5,9252.5,7454.0,9842.0,8401.0,9021.0,14082.0,9013.5,13502.0,13642.5,11363.0,10527.5,14164.0,18165.0,11360.5,19732.5,10325.5,15182.5,17523.0,16576.5,15935.5,14469.5,13033.0,16328.0,16810.5,11265.0,13967.5
