,Dey1.jpg_persistence.pkl,Dey10.jpeg_persistence.pkl,Dey2.jpg_persistence.pkl,Dey3.jpeg_persistence.pkl,Dey4.jpg_persistence.pkl,Dey5.jpg_persistence.pkl,Dey6.jpg_persistence.pkl,Dey7.jpeg_persistence.pkl,Dey8.jpg_persistence.pkl,Dey9.jpg_persistence.pkl,Gen1.jpg_persistence.pkl,Gen10.jpg_persistence.pkl,Gen2.jpg_persistence.pkl,Gen3.jpg_persistence.pkl,Gen4.png_persistence.pkl,Gen5.jpeg_persistence.pkl,Gen6.jpg_persistence.pkl,Gen7.jpg_persistence.pkl,Gen8.jpg_persistence.pkl,Gen9.jpg_persistence.pkl,Goya1.jpg_persistence.pkl,Goya10.jpg_persistence.pkl,Goya2.jpg_persistence.pkl,Goya3.jpg_persistence.pkl,Goya4.jpg_persistence.pkl,Goya5.jpg_persistence.pkl,Goya6.jpg_persistence.pkl,Goya7.jpg_persistence.pkl,Goya8.jpg_persistence.pkl,Goya9.jpg_persistence.pkl,Klimt1.jpg_persistence.pkl,Klimt10.jpeg_persistence.pkl,Klimt2.jpg_persistence.pkl,Klimt3.jpg_persistence.pkl,Klimt4.jpg_persistence.pkl,Klimt5.jpg_persistence.pkl,Klimt6.jpg_persistence.pkl,Klimt7.jpg_persistence.pkl,Klimt8.jpg_persistence.pkl,Klimt9.jpg_persistence.pkl,Mithila1.jpg_persistence.pkl,Mithila10.jpg_persistence.pkl,Mithila2.jpg_persistence.pkl,Mithila3.jpg_persistence.pkl,Mithila4.jpeg_persistence.pkl,Mithila5.jpg_persistence.pkl,Mithila6.jpg_persistence.pkl,Mithila7.jpeg_persistence.pkl,Mithila8.jpeg_persistence.pkl,Mithila9.jpg_persistence.pkl,Raja1.jpg_persistence.pkl,Raja10.jpg_persistence.pkl,Raja2.jpg_persistence.pkl,Raja3.jpg_persistence.pkl,Raja4.jpg_persistence.pkl,Raja5.jpeg_persistence.pkl,Raja6.jpg_persistence.pkl,Raja7.jpg_persistence.pkl,Raja8.jpg_persistence.pkl,Raja9.jpg_persistence.pkl,Ren1.jpg_persistence.pkl,Ren10.jpg_persistence.pkl,Ren2.jpg_persistence.pkl,Ren3.jpg_persistence.pkl,Ren4.jpg_persistence.pkl,Ren5.jpg_persistence.pkl,Ren6.jpg_persistence.pkl,Ren7.jpg_persistence.pkl,Ren8.jpg_persistence.pkl,Ren9.jpeg_persistence.pkl,Robert1.jpg_persistence.pkl,Robert10.jpg_persistence.pkl,Robert2.jpg_persistence.pkl,Robert3.jpg_persistence.pkl,Robert4.jpg_persistence.pkl,Robert5.jpg_persistence.pkl,Robert6.jpg_persistence.pkl,Robert7.jpg_persistence.pkl,Robert8.jpg_persistence.pkl,Robert9.jpg_persistence.pkl,Sid1.jpeg_persistence.pkl,Sid10.jpg_persistence.pkl,Sid2.jpeg_persistence.pkl,Sid3.jpg_persistence.pkl,Sid4.jpg_persistence.pkl,Sid5.jpeg_persistence.pkl,Sid6.jpeg_persistence.pkl,Sid7.jpg_persistence.pkl,Sid8.jpg_persistence.pkl,Sid9.jpg_persistence.pkl,Vin1.jpg_persistence.pkl,Vin10.jpg_persistence.pkl,Vin2.jpg_persistence.pkl,Vin3.jpg_persistence.pkl,Vin4.jpg_persistence.pkl,Vin5.jpg_persistence.pkl,Vin6.jpg_persistence.pkl,Vin7.jpg_persistence.pkl,Vin8.jpeg_persistence.pkl,Vin9.jpg_persistence.pkl
Dey1.jpg_persistence.pkl,0.0,17931.0,8582.5,17975.0,4180.5,10895.0,16953.5,9908.0,18347.5,9409.5,17688.0,16849.5,8369.5,17940.5,18136.5,17572.5,16265.5,18320.5,16516.5,18130.5,17663.5,17240.0,16366.0,17947.5,18387.5,16149.0,17830.5,17570.5,18080.5,18144.5,6531.5,10319.0,9286.5,2655.5,15451.5,15286.0,13285.0,3991.5,14655.0,16360.5,10525.0,10779.0,12985.0,7696.0,26229.0,14140.5,9223.5,12228.5,8690.5,15739.0,5907.0,16204.5,12101.5,6901.5,6848.5,17947.5,15548.0,18123.0,17914.5,17934.0,10318.0,11288.5,16773.0,5091.0,7908.0,10190.0,13358.5,5277.5,28720.0,18345.5,7581.5,18388.0,10085.5,13548.5,17563.0,18387.0,18368.0,18388.0,17956.5,11029.5,6626.0,10866.0,6162.0,11893.0,7103.5,12648.5,10358.5,5932.0,9264.0,14219.0,11788.5,7640.5,7266.5,8821.5,9510.0,5861.5,5995.0,8279.5,16104.5,16070.5
Dey10.jpeg_persistence.pkl,17931.0,0.0,9593.5,201.0,19586.0,7328.5,1024.0,12006.5,440.0,9135.0,411.5,1261.0,10091.0,261.0,389.5,465.0,1726.5,405.5,1464.5,264.5,342.0,948.5,1705.5,189.5,469.5,1873.0,276.5,668.0,308.5,269.0,12292.0,8706.5,12596.5,17763.0,2623.5,2832.5,12452.0,20278.5,3410.0,1645.5,9730.5,26027.0,7282.5,24510.0,43507.5,4254.5,9719.0,29599.0,12782.5,2347.5,12788.0,1862.0,6201.0,22728.0,11750.5,317.5,2457.0,336.5,230.0,240.0,8196.5,7030.0,34018.0,21141.5,10777.0,23878.5,4868.5,13560.5,45221.0,430.0,10882.0,470.0,8260.5,4625.0,492.5,469.0,451.0,470.0,224.5,9767.5,14327.0,7999.5,13994.5,28328.0,12641.5,5643.5,27638.5,13271.5,26597.5,3803.5,8049.0,13392.0,21414.0,25867.5,8977.5,12760.5,21541.0,24583.0,32409.0,32488.5
Dey2.jpg_persistence.pkl,8582.5,9593.5,0.0,9633.0,10424.5,3277.5,8614.5,5207.5,10004.5,2354.5,9346.0,8649.5,2191.5,9597.0,9820.5,9257.5,8011.0,9977.5,8185.0,9788.0,9329.0,8961.0,8238.0,9606.5,10044.5,7932.5,9490.0,9322.5,9740.0,9802.5,4352.0,3184.0,4684.0,8556.5,7310.0,7159.5,10943.5,10898.0,6496.5,8065.5,4795.5,17145.5,5425.5,15272.5,34307.5,6370.0,2799.5,20228.5,4478.0,7712.0,3736.0,8024.0,4205.5,13583.5,3872.0,9605.5,7285.0,9781.0,9579.0,9589.5,2789.0,3724.5,24764.0,12094.0,3321.0,15861.5,5115.5,4779.0,36379.5,10003.0,3451.5,10045.0,3705.5,5402.0,9226.5,10044.0,10025.5,10045.0,9613.0,4614.0,6707.5,4006.5,5472.0,19375.5,4616.5,4800.0,18377.0,4288.0,17235.5,5885.0,5123.5,4682.0,12177.5,16476.5,2880.0,4522.5,12803.0,15556.0,23544.0,23501.0
Dey3.jpeg_persistence.pkl,17975.0,201.0,9633.0,0.0,19643.0,7367.5,1095.0,12049.5,378.5,9193.5,392.0,1291.0,10141.0,223.0,277.5,484.0,1755.5,358.0,1492.0,190.5,372.0,967.5,1750.5,181.5,413.5,1913.5,239.5,700.5,200.5,202.0,12329.0,8750.5,12637.5,17804.0,2652.0,2873.5,12425.5,20334.0,3453.5,1676.0,9767.0,26076.0,7330.5,24562.5,43557.0,4293.5,9760.5,29653.5,12824.0,2375.0,12836.0,1909.5,6247.5,22781.5,11799.5,230.5,2489.0,233.0,215.0,215.0,8231.5,7068.0,34072.5,21176.5,10832.0,23936.5,4905.5,13598.0,45277.5,373.5,10918.5,414.0,8302.0,4671.0,496.5,413.0,396.0,414.0,194.5,9810.5,14362.0,8053.5,14046.5,28365.5,12643.0,5693.0,27683.5,13319.5,26650.5,3846.0,8097.5,13438.0,21462.0,25919.5,9014.5,12807.5,21578.0,24637.5,32454.5,32526.5
Dey4.jpg_persistence.pkl,4180.5,19586.0,10424.5,19643.0,0.0,12689.0,18626.0,11321.0,20012.5,11571.5,19352.5,18522.0,9838.5,19602.5,19799.5,19239.5,17981.5,19985.0,18184.5,19795.0,19332.5,18851.0,18135.5,19614.0,20052.0,17896.0,19501.0,19247.5,19747.0,19808.5,8449.5,13060.0,10991.5,4905.5,17453.5,17031.0,14267.5,5032.0,16477.5,18072.5,13389.0,10954.0,14625.5,7395.0,24355.0,16471.0,12007.0,10474.0,10195.5,17863.0,7900.0,17866.0,13815.0,4703.0,8247.5,19613.5,17234.5,19788.0,19583.5,19595.5,12524.0,13722.5,15152.0,5096.0,10664.5,8248.5,15246.0,7693.5,27462.5,20009.5,9266.5,20052.5,11862.5,15353.0,19302.0,20051.5,20032.5,20052.5,19619.5,12590.0,9334.0,13428.5,8732.0,11008.5,9447.0,14574.0,9856.5,8526.5,7797.5,15874.0,14611.0,10583.0,8931.0,7725.5,11542.0,8281.0,5742.0,7332.5,14864.5,15123.5
Dey5.jpg_persistence.pkl,10895.0,7328.5,3277.5,7367.5,12689.0,0.0,6367.5,5767.5,7733.5,3043.0,7082.0,6233.5,4025.0,7329.0,7525.0,6966.5,5793.0,7707.5,5946.5,7520.0,7062.0,6627.0,5904.0,7339.0,7773.5,5653.5,7228.0,6949.0,7470.5,7532.0,6065.0,3602.0,5998.0,10959.5,5306.5,4926.0,11529.5,13214.0,4505.5,5851.0,4572.5,19185.0,3872.0,17424.0,36505.0,4413.0,3997.5,22421.5,6107.5,5666.5,5854.5,5661.5,3292.0,15788.5,5122.0,7338.0,4990.0,7511.0,7307.0,7322.0,3420.5,2993.5,26973.0,14502.0,5018.0,18126.5,3602.5,7202.5,38679.5,7731.0,4498.5,7774.0,4091.5,3908.5,6975.5,7773.0,7754.5,7774.0,7341.5,4360.5,8029.5,3326.5,7362.5,21681.5,7045.5,3090.0,20516.5,6413.5,19435.5,3893.0,4254.0,6747.5,14450.5,18733.0,3855.0,6625.5,14989.0,17902.5,25825.5,25894.0
Dey6.jpg_persistence.pkl,16953.5,1024.0,8614.5,1095.0,18626.0,6367.5,0.0,11035.5,1400.0,8179.5,885.5,791.0,9131.0,1024.5,1270.0,794.0,1049.5,1374.5,610.0,1211.0,952.5,672.5,1224.5,1055.5,1439.5,1337.5,970.5,1043.5,1158.0,1213.0,11319.5,7746.5,11647.0,16782.0,1833.0,1938.5,11864.0,19312.5,2618.0,1099.0,8775.0,25066.0,6330.0,23540.0,42539.5,3384.5,8745.5,28630.0,11811.0,1872.0,11816.0,1079.5,5256.0,21761.0,10788.5,1033.5,1601.5,1222.5,1048.0,1001.0,7251.5,6059.0,33049.0,20160.5,9850.0,22955.5,3916.5,12585.0,44254.0,1398.0,9899.5,1440.0,7294.5,3675.0,1011.0,1439.0,1427.0,1440.0,1036.0,8796.5,13383.5,7065.5,13044.5,27342.0,11702.5,4698.5,26661.0,12302.0,25626.5,2867.0,7109.0,12423.5,20449.0,24899.5,8029.5,11820.5,20562.5,23621.5,31435.0,31506.0
Dey7.jpeg_persistence.pkl,9908.0,12006.5,5207.5,12049.5,11321.0,5767.5,11035.5,0.0,12412.5,5066.5,11758.5,10813.0,5450.5,12016.0,12203.0,11631.0,10381.5,12387.5,10597.5,12198.0,11741.0,11266.0,10382.0,12017.5,12452.5,10243.5,11904.0,11511.5,12152.5,12210.0,5507.0,5528.0,2405.0,10436.0,9591.0,9270.5,10521.0,12251.5,8755.0,10430.5,6808.0,17391.0,5418.5,15875.0,33712.5,8313.0,5834.0,19414.0,2193.5,9940.0,5088.5,10199.0,6178.0,14419.5,5524.0,12014.0,9630.5,12189.5,11983.0,12003.0,4753.0,5868.5,24010.5,13234.0,4777.0,17098.5,7612.0,7204.0,37439.5,12410.5,5045.0,12453.0,5393.0,7830.5,11654.0,12452.0,12433.0,12453.0,12025.0,3122.0,9180.0,6235.5,8067.0,20397.5,7197.0,6645.5,17817.0,6761.5,16140.5,8381.5,7129.0,7176.5,14100.0,16838.0,4288.5,6612.0,13879.5,16703.5,24711.5,24522.0
Dey8.jpg_persistence.pkl,18347.5,440.0,10004.5,378.5,20012.5,7733.5,1400.0,12412.5,0.0,9563.0,663.0,1641.0,10506.5,411.5,217.0,791.5,2119.0,34.5,1843.5,234.0,689.0,1237.0,2101.5,401.5,41.0,2270.5,524.5,929.0,270.0,208.5,12698.5,9122.0,13002.5,18176.0,3018.0,3236.5,12443.0,20706.5,3822.0,2026.0,10133.5,26443.0,7701.0,24934.5,43930.5,4660.5,10131.0,30026.5,13196.0,2740.0,13207.5,2265.0,6606.5,23153.5,12171.0,401.5,2847.0,232.0,436.0,418.5,8602.5,7438.0,34446.0,21549.5,11164.5,24247.0,5272.0,13969.5,45650.0,78.5,11286.5,40.5,8669.0,5027.0,796.0,41.5,60.5,40.5,395.5,10179.5,14705.5,8424.0,14419.5,28738.0,12982.0,6063.5,28056.5,13690.5,27023.5,4196.5,8468.0,13810.0,21834.5,26293.0,9380.5,13167.0,21950.0,25011.0,32827.0,32899.0
Dey9.jpg_persistence.pkl,9409.5,9135.0,2354.5,9193.5,11571.5,3043.0,8179.5,5066.5,9563.0,0.0,8904.0,8057.5,3131.5,9156.0,9355.0,8794.5,7480.0,9536.0,7741.5,9346.5,8888.0,8456.5,7630.0,9163.5,9603.0,7364.0,9047.0,8802.5,9297.5,9359.0,4765.5,2444.5,4632.5,9030.5,6894.5,6647.5,11820.0,11442.5,5892.5,7566.5,3263.5,17320.0,5041.5,15490.0,34565.0,5704.0,2027.5,20586.0,4465.0,7155.0,4363.0,7504.0,4253.5,14312.0,4963.0,9162.0,6761.0,9338.0,9131.0,9149.5,2676.0,2794.5,25001.0,12708.0,3762.0,16925.5,4956.0,5393.0,36665.5,9560.5,4474.5,9603.5,4235.0,5159.0,8944.5,9602.5,9583.5,9603.5,9172.5,4514.5,6893.5,2598.5,5467.5,19751.0,5350.0,4173.0,18618.0,4496.0,17560.5,5440.5,3772.0,4669.0,12628.5,16858.0,3386.5,4953.0,13185.0,16048.0,23950.0,24025.5
