,Dey1.jpg_persistence.pkl,Dey10.jpeg_persistence.pkl,Dey2.jpg_persistence.pkl,Dey3.jpeg_persistence.pkl,Dey4.jpg_persistence.pkl,Dey5.jpg_persistence.pkl,Dey6.jpg_persistence.pkl,Dey7.jpeg_persistence.pkl,Dey8.jpg_persistence.pkl,Dey9.jpg_persistence.pkl,Gen1.jpg_persistence.pkl,Gen10.jpg_persistence.pkl,Gen2.jpg_persistence.pkl,Gen3.jpg_persistence.pkl,Gen4.png_persistence.pkl,Gen5.jpeg_persistence.pkl,Gen6.jpg_persistence.pkl,Gen7.jpg_persistence.pkl,Gen8.jpg_persistence.pkl,Gen9.jpg_persistence.pkl,Goya1.jpg_persistence.pkl,Goya10.jpg_persistence.pkl,Goya2.jpg_persistence.pkl,Goya3.jpg_persistence.pkl,Goya4.jpg_persistence.pkl,Goya5.jpg_persistence.pkl,Goya6.jpg_persistence.pkl,Goya7.jpg_persistence.pkl,Goya8.jpg_persistence.pkl,Goya9.jpg_persistence.pkl,Klimt1.jpg_persistence.pkl,Klimt10.jpeg_persistence.pkl,Klimt2.jpg_persistence.pkl,Klimt3.jpg_persistence.pkl,Klimt4.jpg_persistence.pkl,Klimt5.jpg_persistence.pkl,Klimt6.jpg_persistence.pkl,Klimt7.jpg_persistence.pkl,Klimt8.jpg_persistence.pkl,Klimt9.jpg_persistence.pkl,Mithila1.jpg_persistence.pkl,Mithila10.jpg_persistence.pkl,Mithila2.jpg_persistence.pkl,Mithila3.jpg_persistence.pkl,Mithila4.jpeg_persistence.pkl,Mithila5.jpg_persistence.pkl,Mithila6.jpg_persistence.pkl,Mithila7.jpeg_persistence.pkl,Mithila8.jpeg_persistence.pkl,Mithila9.jpg_persistence.pkl,Raja1.jpg_persistence.pkl,Raja10.jpg_persistence.pkl,Raja2.jpg_persistence.pkl,Raja3.jpg_persistence.pkl,Raja4.jpg_persistence.pkl,Raja5.jpeg_persistence.pkl,Raja6.jpg_persistence.pkl,Raja7.jpg_persistence.pkl,Raja8.jpg_persistence.pkl,Raja9.jpg_persistence.pkl,Ren1.jpg_persistence.pkl,Ren10.jpg_persistence.pkl,Ren2.jpg_persistence.pkl,Ren3.jpg_persistence.pkl,Ren4.jpg_persistence.pkl,Ren5.jpg_persistence.pkl,Ren6.jpg_persistence.pkl,Ren7.jpg_persistence.pkl,Ren8.jpg_persistence.pkl,Ren9.jpeg_persistence.pkl,Robert1.jpg_persistence.pkl,Robert10.jpg_persistence.pkl,Robert2.jpg_persistence.pkl,Robert3.jpg_persistence.pkl,Robert4.jpg_persistence.pkl,Robert5.jpg_persistence.pkl,Robert6.jpg_persistence.pkl,Robert7.jpg_persistence.pkl,Robert8.jpg_persistence.pkl,Robert9.jpg_persistence.pkl,Sid1.jpeg_persistence.pkl,Sid10.jpg_persistence.pkl,Sid2.jpeg_persistence.pkl,Sid3.jpg_persistence.pkl,Sid4.jpg_persistence.pkl,Sid5.jpeg_persistence.pkl,Sid6.jpeg_persistence.pkl,Sid7.jpg_persistence.pkl,Sid8.jpg_persistence.pkl,Sid9.jpg_persistence.pkl,Vin1.jpg_persistence.pkl,Vin10.jpg_persistence.pkl,Vin2.jpg_persistence.pkl,Vin3.jpg_persistence.pkl,Vin4.jpg_persistence.pkl,Vin5.jpg_persistence.pkl,Vin6.jpg_persistence.pkl,Vin7.jpg_persistence.pkl,Vin8.jpeg_persistence.pkl,Vin9.jpg_persistence.pkl
Dey1.jpg_persistence.pkl,0.0,6787.5,9479.0,4632.5,14200.0,5406.0,7676.5,17194.0,8037.5,5093.0,8762.0,7946.5,7916.0,6554.5,9004.5,8733.0,10780.5,8635.5,7140.5,8186.0,7362.5,7418.5,5689.0,8159.0,7179.5,8528.5,7046.0,9852.0,8405.5,6763.5,11237.5,14253.0,13813.0,13868.5,30429.5,9378.0,20553.0,21334.0,11414.0,10990.5,28654.5,41747.0,15955.5,17350.5,20191.5,9972.0,13774.0,21176.5,16825.0,18640.5,5785.5,8228.5,5941.0,7106.0,5556.0,5266.0,5834.0,5155.5,4988.0,7182.5,6375.0,10178.0,18058.0,12019.0,7297.0,9166.0,9509.5,9041.0,16571.0,4554.0,8092.0,8948.0,6559.0,8327.0,9571.5,7742.5,10033.5,6555.0,7653.5,8114.0,4694.5,10104.0,11198.5,10503.0,7981.0,12156.0,18214.5,10527.5,13574.0,10561.5,7148.0,16163.5,9914.5,12152.5,7643.5,11364.5,16552.5,18998.0,15158.5,13301.0
Dey10.jpeg_persistence.pkl,6787.5,0.0,6141.5,4633.5,10540.5,7397.0,5002.0,16233.5,5600.0,5117.0,8936.5,5559.0,5646.5,4892.0,4255.0,5364.0,8745.0,7039.0,7040.5,6484.5,4943.0,5100.5,7090.5,5111.5,5106.0,9215.5,6025.0,8765.5,6733.0,4869.5,10058.5,18049.5,14846.5,17493.5,29267.0,11705.0,20290.5,19073.0,11021.0,11465.5,31646.0,43820.5,19752.5,20217.5,20987.0,13904.0,12312.0,26273.0,16660.0,21094.0,5326.5,8062.0,4672.0,8235.5,4520.0,5702.0,5456.0,5090.5,4749.5,5644.5,11427.5,11748.0,16916.0,14875.5,9751.5,10236.5,13397.0,9587.5,20011.0,4659.0,4585.0,4255.5,3482.0,4154.0,5789.0,3375.5,5437.5,3902.0,6873.0,9563.5,6539.0,11098.5,14184.5,12421.5,10875.5,16461.0,21516.5,11830.0,17859.0,8150.0,12397.0,19679.0,14508.0,14182.0,8959.0,10355.5,15636.0,21992.0,13217.5,14206.5
Dey2.jpg_persistence.pkl,9479.0,6141.5,0.0,6667.0,6382.0,11492.5,8584.0,16768.5,9415.5,7962.5,12613.5,8907.0,8562.5,8199.0,7179.5,8791.5,11791.0,10393.5,10652.5,8670.5,6203.0,6937.5,10698.0,7982.5,8843.0,12505.0,9589.0,12252.5,10205.5,8428.5,7965.0,15749.5,12847.5,17038.5,24777.5,11680.5,16434.0,14421.0,9342.5,9829.5,31390.5,42034.0,19822.0,21146.5,20639.5,14603.0,9751.5,27236.5,17393.0,21673.0,8105.5,9872.0,8296.0,9641.5,7794.5,8400.0,6954.0,8757.5,6898.5,6856.0,12988.5,10838.0,13676.5,14427.0,10238.0,7942.5,12624.0,6985.0,19360.0,6788.0,3764.0,7531.5,4949.0,5951.0,8822.5,6050.0,6758.0,5865.5,9128.0,9379.0,8067.5,8186.0,11202.0,10082.0,10904.0,17438.5,18825.5,10824.0,17591.0,9905.5,13447.5,16504.0,15333.0,10589.5,10538.5,8127.0,11268.5,22892.5,10618.0,14351.0
Dey3.jpeg_persistence.pkl,4632.5,4633.5,6667.0,0.0,11065.0,6492.5,5039.5,15056.5,5492.0,4361.5,8187.5,5301.0,5155.0,4461.5,5971.5,5755.5,8458.0,6573.0,5774.5,5638.5,4538.0,4879.0,5875.5,5200.5,4658.5,7601.5,5224.5,8093.0,6420.0,4296.0,9318.0,15518.0,14691.5,15174.5,28565.5,9447.0,19035.0,18622.5,9581.0,10156.5,30230.0,43153.5,17828.5,18920.0,20714.5,11633.0,11954.0,23740.0,17111.0,19660.5,4147.0,6413.0,4133.0,6294.5,3760.5,4285.0,4054.0,4508.5,3597.5,5602.0,8548.0,10006.5,17441.5,12991.5,7608.5,9371.0,11438.0,8664.5,18359.0,3749.5,5292.0,6025.0,3804.5,5129.0,6585.0,4935.0,6911.0,3697.5,6278.0,8027.5,5129.5,9253.5,12547.5,11794.5,9525.5,14060.0,19889.0,10868.5,16001.5,8145.5,10084.0,17400.0,12240.0,12336.5,7078.5,10576.5,15246.0,20613.5,13272.5,13839.0
Dey4.jpg_persistence.pkl,14200.0,10540.5,6382.0,11065.0,0.0,16394.5,12251.0,19835.0,13207.0,12070.5,16303.5,12845.5,12657.5,12370.5,10592.5,12486.5,15564.0,14458.0,15127.0,12587.0,10077.5,10288.5,15641.0,11891.0,12851.5,16862.0,13865.0,16143.5,13992.5,12628.5,9248.5,18054.5,11557.0,19594.0,22102.0,15020.5,16438.5,13088.0,11123.5,11541.0,31222.5,38975.0,20999.0,22256.0,19618.5,17614.5,9627.5,29541.5,17546.5,22484.0,12438.0,13859.5,12473.5,13839.0,12696.5,12904.5,11522.0,13786.5,11860.5,10943.0,17507.5,13491.0,11124.0,16338.0,14785.5,9553.5,15015.0,8135.5,18313.0,11395.0,7901.0,10704.5,9316.0,10120.5,12631.0,10082.5,9625.5,10454.5,13614.5,13393.5,12504.5,10744.5,11892.0,11937.5,14194.5,21262.0,19385.0,13023.5,19556.5,12509.5,17447.5,18944.5,17505.5,13146.0,14830.5,8369.5,10184.0,23660.5,9745.0,15789.5
Dey5.jpg_persistence.pkl,5406.0,7397.0,11492.5,6492.5,16394.5,0.0,6949.0,17024.5,6656.0,6943.5,8513.5,6563.0,7250.0,6105.0,8399.5,7234.0,9697.0,7101.0,5335.5,8206.0,8115.0,7980.5,4937.5,7002.5,5840.5,7040.5,5870.0,8546.5,7488.5,5759.0,14450.0,16878.5,16656.5,15531.5,33414.5,11632.0,22891.0,23839.5,13321.5,13983.0,30664.0,44159.5,17677.0,19718.5,23436.0,10097.0,15406.0,23153.0,20116.5,21078.0,6080.5,8807.5,5189.0,8534.0,6291.0,4525.5,6998.0,5161.0,5495.0,7853.5,8617.5,12370.5,21672.0,15071.0,8319.0,12668.5,12344.0,12100.5,18492.5,5842.0,9275.5,8054.5,7575.0,7992.0,8625.0,7121.5,10451.5,7200.5,7875.0,10097.5,5919.5,11837.0,13975.5,12714.5,9912.0,13755.5,20963.5,11456.0,14954.0,10439.5,8741.5,18435.5,11880.0,14061.5,9646.0,14687.5,19985.5,20457.0,18577.5,16486.5
Dey6.jpg_persistence.pkl,7676.5,5002.0,8584.0,5039.5,12251.0,6949.0,0.0,14691.5,2133.0,8108.0,4858.5,2438.5,3847.0,2602.5,4103.5,2139.5,5624.5,3513.0,4118.5,4668.5,3793.5,5528.0,5631.5,3371.0,2093.0,5962.0,3503.0,4802.0,2656.0,1919.0,12844.5,17991.5,18691.0,18290.5,31979.0,12513.5,21842.0,21315.0,11291.5,13834.5,33734.5,47136.5,21853.5,22858.0,24689.5,13027.0,14035.5,27116.0,20808.5,23710.0,4551.0,7433.0,2808.5,8226.5,3903.5,4934.5,5462.0,6242.0,5839.5,5849.0,11043.5,12784.5,21075.5,16058.5,9079.5,13149.5,14749.0,12501.5,22378.0,6338.0,5981.5,3206.5,4954.0,4439.5,4183.0,3371.0,6165.5,5360.5,6049.5,10816.0,7518.5,11355.0,15972.0,15844.0,13352.0,16411.0,22893.5,12067.0,19954.0,8744.0,13768.0,19772.0,15717.0,15137.0,9355.5,14408.0,18785.5,24934.0,16736.5,17778.5
Dey7.jpeg_persistence.pkl,17194.0,16233.5,16768.5,15056.5,19835.0,17024.5,14691.5,0.0,15057.0,18252.0,13709.0,13562.0,12129.5,13859.0,14835.5,15034.0,11125.0,13333.0,12861.0,11461.0,13348.5,13329.0,13918.0,13168.0,14273.0,13361.5,13580.0,12473.5,14515.0,14367.5,17765.5,14651.0,22129.5,15192.5,32236.5,11982.5,18888.0,23943.5,14297.0,15382.5,32567.5,45426.0,20113.5,23872.5,26108.0,15950.0,19663.5,24011.5,24553.5,25178.0,13154.5,10355.0,14129.0,11911.5,14109.5,14089.5,12918.0,16006.5,14442.5,15140.0,16965.5,12511.5,24165.5,12879.0,12204.5,18559.0,16674.0,18547.0,23940.5,15144.5,15547.0,16031.0,15238.5,14040.5,15007.5,15227.0,14746.5,14475.5,12398.0,12829.0,14568.0,14240.5,17736.5,20011.5,16840.5,14221.5,19098.5,15031.5,21312.0,16153.5,19791.5,17198.5,17603.5,15785.5,10674.5,19222.0,21834.0,26179.5,22049.0,22832.0
Dey8.jpg_persistence.pkl,8037.5,5600.0,9415.5,5492.0,13207.0,6656.0,2133.0,15057.0,0.0,8243.0,4882.0,2270.0,3670.0,2866.5,4790.0,1734.5,5374.0,2979.5,4015.5,4827.5,4704.0,6233.0,6178.5,4002.5,2339.5,5289.0,2970.5,4761.5,2490.5,2133.5,13397.5,18511.5,19127.5,18570.0,32682.0,13156.5,22490.5,22195.5,12073.5,14299.0,34401.5,47761.0,22597.0,23223.0,25009.5,13975.5,14547.5,28021.5,21239.0,24084.0,5120.0,7823.0,3138.0,8970.0,4456.5,5089.0,6151.5,6842.0,6101.0,6472.5,11675.5,13579.5,21632.5,16659.5,9561.0,13712.5,15526.0,12940.0,22932.0,6607.5,6657.0,3660.0,5353.5,5366.5,5040.5,4062.0,7088.5,5869.0,6461.0,11556.5,8138.0,12147.0,16701.0,16324.5,13897.0,17158.5,23702.0,12843.5,20706.5,8919.5,14340.0,20677.0,16533.0,15889.0,9635.5,14890.5,19495.5,25195.0,17457.5,18101.5
Dey9.jpg_persistence.pkl,5093.0,5117.0,7962.5,4361.5,12070.5,6943.5,8108.0,18252.0,8243.0,0.0,11455.5,8329.0,8186.5,7408.0,7970.0,8424.5,11644.0,9673.0,8829.0,8734.5,7539.0,7584.5,8327.5,8437.0,7652.0,10704.5,8224.5,11424.5,9587.5,7322.0,9584.0,17099.0,12753.5,16151.5,29291.0,11285.5,21089.5,20332.0,12263.5,10770.0,28721.0,41570.5,16599.0,16831.0,18861.5,13522.5,13371.0,23475.5,14391.5,17912.5,7091.5,9544.0,7237.0,9295.5,6526.0,7135.5,6925.0,4516.5,5545.0,8084.5,10148.5,11843.0,16132.0,13578.0,10136.0,8973.0,11538.0,8628.5,16623.5,5136.5,6840.5,8179.0,5526.0,7598.0,9545.5,7027.0,9033.5,5760.0,9034.0,9635.0,6890.0,11455.5,13006.5,9743.0,9246.5,15464.0,20331.5,13195.5,14592.0,10456.5,9313.0,19214.5,11310.5,14002.5,9277.5,9211.5,15214.0,18144.5,13148.0,11645.0
