,G_Dey1.jpg_persistence.pkl,G_Dey10.jpeg_persistence.pkl,G_Dey2.jpg_persistence.pkl,G_Dey3.jpeg_persistence.pkl,G_Dey4.jpg_persistence.pkl,G_Dey5.jpg_persistence.pkl,G_Dey6.jpg_persistence.pkl,G_Dey7.jpeg_persistence.pkl,G_Dey8.jpg_persistence.pkl,G_Dey9.jpg_persistence.pkl,G_Gen1.jpg_persistence.pkl,G_Gen10.jpg_persistence.pkl,G_Gen2.jpg_persistence.pkl,G_Gen3.jpg_persistence.pkl,G_Gen4.png_persistence.pkl,G_Gen5.jpeg_persistence.pkl,G_Gen6.jpg_persistence.pkl,G_Gen7.jpg_persistence.pkl,G_Gen8.jpg_persistence.pkl,G_Gen9.jpg_persistence.pkl,G_Goya1.jpg_persistence.pkl,G_Goya10.jpg_persistence.pkl,G_Goya2.jpg_persistence.pkl,G_Goya3.jpg_persistence.pkl,G_Goya4.jpg_persistence.pkl,G_Goya5.jpg_persistence.pkl,G_Goya6.jpg_persistence.pkl,G_Goya7.jpg_persistence.pkl,G_Goya8.jpg_persistence.pkl,G_Goya9.jpg_persistence.pkl,G_Klimt1.jpg_persistence.pkl,G_Klimt10.jpeg_persistence.pkl,G_Klimt2.jpg_persistence.pkl,G_Klimt3.jpg_persistence.pkl,G_Klimt4.jpg_persistence.pkl,G_Klimt5.jpg_persistence.pkl,G_Klimt6.jpg_persistence.pkl,G_Klimt7.jpg_persistence.pkl,G_Klimt8.jpg_persistence.pkl,G_Klimt9.jpg_persistence.pkl,G_Mithila1.jpg_persistence.pkl,G_Mithila10.jpg_persistence.pkl,G_Mithila2.jpg_persistence.pkl,G_Mithila3.jpg_persistence.pkl,G_Mithila4.jpeg_persistence.pkl,G_Mithila5.jpg_persistence.pkl,G_Mithila6.jpg_persistence.pkl,G_Mithila7.jpeg_persistence.pkl,G_Mithila8.jpeg_persistence.pkl,G_Mithila9.jpg_persistence.pkl,G_Raja1.jpg_persistence.pkl,G_Raja10.jpg_persistence.pkl,G_Raja2.jpg_persistence.pkl,G_Raja3.jpg_persistence.pkl,G_Raja4.jpg_persistence.pkl,G_Raja5.jpeg_persistence.pkl,G_Raja6.jpg_persistence.pkl,G_Raja7.jpg_persistence.pkl,G_Raja8.jpg_persistence.pkl,G_Raja9.jpg_persistence.pkl,G_Ren1.jpg_persistence.pkl,G_Ren10.jpg_persistence.pkl,G_Ren2.jpg_persistence.pkl,G_Ren3.jpg_persistence.pkl,G_Ren4.jpg_persistence.pkl,G_Ren5.jpg_persistence.pkl,G_Ren6.jpg_persistence.pkl,G_Ren7.jpg_persistence.pkl,G_Ren8.jpg_persistence.pkl,G_Ren9.jpeg_persistence.pkl,G_Robert1.jpg_persistence.pkl,G_Robert10.jpg_persistence.pkl,G_Robert2.jpg_persistence.pkl,G_Robert3.jpg_persistence.pkl,G_Robert4.jpg_persistence.pkl,G_Robert5.jpg_persistence.pkl,G_Robert6.jpg_persistence.pkl,G_Robert7.jpg_persistence.pkl,G_Robert8.jpg_persistence.pkl,G_Robert9.jpg_persistence.pkl,G_Sid1.jpeg_persistence.pkl,G_Sid10.jpg_persistence.pkl,G_Sid2.jpeg_persistence.pkl,G_Sid3.jpg_persistence.pkl,G_Sid4.jpg_persistence.pkl,G_Sid5.jpeg_persistence.pkl,G_Sid6.jpeg_persistence.pkl,G_Sid7.jpg_persistence.pkl,G_Sid8.jpg_persistence.pkl,G_Sid9.jpg_persistence.pkl,G_Vin1.jpg_persistence.pkl,G_Vin10.jpg_persistence.pkl,G_Vin2.jpg_persistence.pkl,G_Vin3.jpg_persistence.pkl,G_Vin4.jpg_persistence.pkl,G_Vin5.jpg_persistence.pkl,G_Vin6.jpg_persistence.pkl,G_Vin7.jpg_persistence.pkl,G_Vin8.jpeg_persistence.pkl,G_Vin9.jpg_persistence.pkl
G_Dey1.jpg_persistence.pkl,0.0,3927.0,4850.0,3344.5,6459.0,3784.0,4967.5,12399.0,5292.5,2681.0,5580.0,3997.5,4774.5,4480.5,5667.5,5118.5,6836.5,5136.0,3682.0,5816.5,5104.0,4368.5,3154.5,4751.0,4318.5,5676.0,3900.0,4504.0,4558.5,4019.0,5098.0,8768.0,10129.0,14014.5,10848.5,6246.5,8911.5,10228.0,6387.5,5926.0,20407.5,18459.5,11184.0,16441.5,12119.5,13468.5,17142.5,12921.5,15286.5,5950.5,4620.0,5784.0,3747.0,5123.0,2877.0,3078.0,4304.5,3607.0,2993.0,5082.0,6652.5,4181.5,14855.0,9792.0,3725.0,6699.0,6230.0,5657.0,13385.0,3027.0,5583.5,5260.0,4508.0,6297.0,6101.0,5134.5,6005.5,5042.5,4984.0,6580.0,4576.0,6557.5,4815.0,4779.0,8103.5,5071.5,12135.0,4879.5,8718.0,4752.5,5153.5,7678.5,5473.0,6088.0,3604.5,7328.0,8215.0,9757.5,9053.0,7739.0
G_Dey10.jpeg_persistence.pkl,3927.0,0.0,3007.0,2604.0,4166.5,3319.0,3109.5,13601.0,3465.5,3488.0,5133.0,2363.0,3140.0,3424.0,2407.0,3663.5,5880.0,5212.5,3490.0,4990.5,3305.5,2415.0,3684.5,2294.0,2515.5,7887.5,3669.0,5406.5,3963.0,3042.5,4710.0,10205.0,8676.0,13274.0,8794.5,6618.0,7104.0,7289.5,5143.5,6077.5,18388.0,15859.5,10835.5,15474.0,11681.0,13059.0,14775.0,13193.0,13891.5,4710.0,3528.0,5495.0,2098.0,4237.0,2720.5,2096.0,4175.0,2598.5,1992.5,3942.0,8969.0,4670.5,12881.0,10569.0,5070.0,6021.0,7456.0,5006.5,13384.5,2516.0,3051.0,2308.5,2240.5,2941.5,3122.0,1976.0,2785.0,2313.5,2770.0,6301.5,4069.5,5675.5,4849.5,5235.5,8310.5,6067.0,10965.0,4013.5,10617.5,2166.5,7170.0,8223.0,7105.0,4761.0,4729.0,5374.5,7033.5,9478.5,6641.0,7900.5
G_Dey2.jpg_persistence.pkl,4850.0,3007.0,0.0,3483.5,2604.0,4703.0,4041.5,12914.5,4291.0,3784.5,6014.5,3203.0,3830.0,3668.0,3279.5,4646.0,6423.0,6587.5,4373.5,4742.0,3140.5,2609.0,4997.5,3012.0,3508.0,8715.0,4682.5,6522.5,4896.0,3692.0,3861.0,9039.5,6800.0,11781.5,7593.0,7019.0,6688.0,7332.5,4803.5,4990.5,17131.0,15702.0,8978.0,13172.5,9861.5,13032.0,14467.0,11899.5,12101.0,2720.5,3889.0,5446.0,3117.5,4316.5,3290.0,3298.5,4919.0,3769.5,3567.5,4104.0,9157.0,4549.5,10938.0,9219.5,5619.0,4313.0,6554.5,3521.5,11609.5,2707.0,1582.0,3076.0,1948.0,3669.0,3899.5,2426.5,3390.5,2117.0,3451.5,6374.5,4352.0,5044.0,4224.5,4817.0,7241.5,7676.0,9993.5,5301.5,10869.0,3404.5,7140.0,6994.0,6767.0,3910.0,4784.0,5411.0,4977.5,7398.0,4683.0,6666.0
G_Dey3.jpeg_persistence.pkl,3344.5,2604.0,3483.5,0.0,4839.0,3448.5,3154.5,12547.0,3594.0,3219.5,4551.5,2492.0,2747.0,2636.5,3795.0,3709.5,4996.0,4702.0,3060.5,4280.0,3030.5,2852.0,3097.5,2882.0,2919.0,6339.0,3262.0,4676.0,3230.0,2535.0,4663.5,9175.5,8808.5,12681.0,9047.0,5998.5,7148.0,8029.5,4920.0,5543.5,18602.5,16286.5,10358.0,15186.0,11432.0,12351.5,15109.0,12314.0,13785.0,4729.0,3073.5,4667.5,2276.0,3932.0,2033.0,2383.5,3379.0,2992.5,2839.0,3727.5,8372.0,4166.0,13199.0,9646.0,4027.0,5756.0,6894.0,4842.0,12856.0,2620.0,3901.0,3372.5,3039.5,4257.0,4156.5,3166.0,3935.5,3297.5,2975.5,5618.5,3770.5,5279.5,4547.5,5189.0,7718.5,5935.0,10714.5,4094.5,10256.0,3222.0,6712.0,7610.0,6604.5,4633.5,3712.5,6046.5,7055.5,9077.5,7449.0,7559.0
G_Dey4.jpg_persistence.pkl,6459.0,4166.5,2604.0,4839.0,0.0,5968.5,4735.0,12522.0,4975.5,5268.0,6861.5,4424.0,4833.0,4455.5,3835.0,5604.0,7229.5,7851.0,5410.5,5052.0,3473.5,3503.0,6308.5,3854.5,4527.0,9978.5,5934.5,7861.5,6134.0,4760.5,4562.5,9286.0,6411.5,11101.0,6046.0,6910.0,5564.0,6755.0,4746.5,5311.0,15421.5,14558.5,9048.0,12714.5,10025.0,12686.5,13311.5,11153.0,11265.0,3805.5,4550.5,6002.5,4067.0,4809.5,4748.0,4998.0,5494.5,4853.0,5213.5,4328.5,10040.5,5073.5,9665.0,9247.0,6300.5,4183.5,7231.0,4353.5,11586.5,4467.5,2587.5,3577.5,3104.0,3105.0,4470.5,3125.5,3354.0,2949.0,3676.0,6789.5,4983.5,4166.5,4422.5,5394.5,7425.0,7964.0,9274.0,5745.0,11839.5,4450.5,7786.5,7141.5,7098.0,3826.5,5991.0,5016.5,4164.5,7821.5,4107.0,7516.5
G_Dey5.jpg_persistence.pkl,3784.0,3319.0,4703.0,3448.5,5968.5,0.0,4263.0,13401.5,4519.5,3801.5,5318.5,2976.0,3613.0,3457.5,4308.0,4166.5,5839.0,4300.0,2686.5,5133.0,4218.0,4001.5,2908.5,3747.5,3310.0,6488.5,3109.5,4385.0,3882.5,3150.0,6586.5,9734.5,10255.0,13745.0,9964.0,6468.0,7618.5,8912.0,5485.5,6954.0,19155.0,16867.5,11729.5,16364.5,13156.0,13000.0,15552.5,13521.0,14673.5,5597.0,4172.5,5582.5,3096.5,4837.0,3129.0,2856.5,4471.0,2458.5,2681.0,4386.5,8118.0,5208.0,14324.5,10659.0,5114.0,7328.5,7584.5,6355.0,14214.5,3951.5,5069.0,4174.5,4024.0,4980.0,4782.5,4171.0,4703.0,4270.5,4555.0,6675.5,4299.0,5878.0,5302.5,5602.0,8880.5,5063.5,11723.0,3979.0,10002.0,3533.5,6822.5,8419.5,7006.0,6349.5,5382.5,7642.0,8606.5,10785.0,8785.0,9393.5
G_Dey6.jpg_persistence.pkl,4967.5,3109.5,4041.5,3154.5,4735.0,4263.0,0.0,14071.0,1337.5,5274.0,3259.5,2092.5,2390.5,2897.5,2386.0,1831.5,4674.0,4191.5,3277.5,4142.5,3220.0,3265.5,4797.5,2220.0,1479.5,7428.0,2946.0,4564.0,2472.0,2152.5,6720.0,11006.5,10135.0,13467.0,9803.5,7803.5,7660.5,7928.5,5487.0,7341.5,18870.5,16328.0,12083.0,16345.5,13119.0,13026.0,14977.5,13364.0,14887.5,4950.5,3463.5,6005.0,2181.5,5055.0,3524.5,3308.5,4863.5,3559.5,3402.0,4021.0,10462.0,6313.0,13806.0,11459.5,5472.0,7425.0,9165.0,6585.0,14593.5,4332.5,3724.5,2118.5,2870.0,3237.5,2789.0,2432.0,2854.5,2926.5,3266.5,6861.5,5544.0,6033.0,6538.0,7524.5,9661.5,7567.5,12555.5,4035.0,12517.5,2726.0,8882.0,9767.0,8785.5,6168.0,5484.5,7504.0,8254.0,10877.5,7463.0,9641.0
G_Dey7.jpeg_persistence.pkl,12399.0,13601.0,12914.5,12547.0,12522.0,13401.5,14071.0,0.0,14765.0,12146.0,14123.5,12939.5,12629.5,11797.0,14736.0,13478.0,13120.0,12420.0,12122.0,11429.5,11852.0,12631.0,11254.5,13220.0,13756.5,9630.5,12511.5,12111.5,13034.0,12648.0,12227.5,6875.5,12627.0,10003.0,12934.0,8655.5,12162.5,15475.5,11451.5,9669.0,17570.0,20769.5,10059.0,14369.0,13846.0,11760.0,17301.0,8501.5,13109.5,13025.5,11696.5,9507.0,13029.5,11337.5,11747.5,12829.5,10484.5,13639.5,13384.0,11512.5,9976.0,10334.5,16136.5,8777.5,10505.5,10595.0,9138.0,11989.0,13478.0,12836.0,13493.0,14083.0,13851.5,13367.0,14967.0,13650.5,13935.5,13198.0,12479.0,11153.0,11317.5,10704.0,10113.5,11084.0,9584.5,11345.0,12661.0,12804.5,9776.5,14188.5,10051.0,8754.5,9158.5,10830.0,10630.5,12349.0,11556.5,12556.5,13378.0,13193.0
G_Dey8.jpg_persistence.pkl,5292.5,3465.5,4291.0,3594.0,4975.5,4519.5,1337.5,14765.0,0.0,5612.0,3509.5,2310.5,2737.0,3417.0,2368.0,1912.5,4869.5,4335.0,3765.0,4546.5,3859.0,3684.5,5326.0,2721.5,1775.5,7831.5,3146.0,5063.5,2587.0,2655.5,7096.0,11767.0,10562.5,14036.5,10251.5,8517.5,8346.0,8398.0,6083.5,8026.0,19432.5,16829.5,12767.0,16974.5,13620.0,13733.0,15418.5,14100.0,15484.0,5404.0,4171.0,6736.0,2553.5,5677.5,3998.0,3580.0,5575.5,3807.0,3577.5,4564.0,11150.0,6875.5,14225.0,12162.0,6150.0,7927.0,9746.0,6975.5,15228.5,4659.0,3960.0,2239.0,3070.0,3454.0,2902.0,2695.0,3128.0,3205.5,3709.0,7507.5,5999.0,6462.5,7085.5,8083.0,10318.5,8192.5,13145.0,4722.0,13142.0,2825.5,9486.5,10397.0,9255.0,6763.0,6145.5,7900.0,8651.0,11328.5,7729.5,10163.0
G_Dey9.jpg_persistence.pkl,2681.0,3488.0,3784.5,3219.5,5268.0,3801.5,5274.0,12146.0,5612.0,0.0,6639.5,4021.5,4710.0,4119.0,5144.5,5585.5,6918.0,6232.5,3963.0,5539.0,4545.0,3803.5,3490.0,4388.0,4434.5,6733.0,4598.0,5814.0,5377.5,4307.5,3841.0,8510.5,8315.5,12773.5,9430.5,6216.0,7936.5,9110.0,5438.0,4474.0,18750.5,17175.5,9314.0,14446.5,10154.0,13235.5,15779.0,12154.5,13527.0,4430.0,4255.5,5217.0,3704.5,4578.5,2853.5,3259.5,4128.0,3280.5,3016.0,4910.0,6719.5,3481.0,13165.5,8851.5,4564.5,4979.5,5396.0,4196.5,11643.0,2193.5,4499.0,4762.0,3729.5,5582.5,5764.5,4450.0,5424.5,4244.0,4505.5,6264.0,3897.0,5782.5,4259.0,3706.5,6833.0,5825.5,10838.5,5141.5,8398.5,4550.5,5016.5,6708.0,5225.0,5370.5,3489.0,6276.5,6268.5,7760.0,7659.0,6234.0
