,R_Dey1.jpg_persistence.pkl,R_Dey10.jpeg_persistence.pkl,R_Dey2.jpg_persistence.pkl,R_Dey3.jpeg_persistence.pkl,R_Dey4.jpg_persistence.pkl,R_Dey5.jpg_persistence.pkl,R_Dey6.jpg_persistence.pkl,R_Dey7.jpeg_persistence.pkl,R_Dey8.jpg_persistence.pkl,R_Dey9.jpg_persistence.pkl,R_Gen1.jpg_persistence.pkl,R_Gen10.jpg_persistence.pkl,R_Gen2.jpg_persistence.pkl,R_Gen3.jpg_persistence.pkl,R_Gen4.png_persistence.pkl,R_Gen5.jpeg_persistence.pkl,R_Gen6.jpg_persistence.pkl,R_Gen7.jpg_persistence.pkl,R_Gen8.jpg_persistence.pkl,R_Gen9.jpg_persistence.pkl,R_Goya1.jpg_persistence.pkl,R_Goya10.jpg_persistence.pkl,R_Goya2.jpg_persistence.pkl,R_Goya3.jpg_persistence.pkl,R_Goya4.jpg_persistence.pkl,R_Goya5.jpg_persistence.pkl,R_Goya6.jpg_persistence.pkl,R_Goya7.jpg_persistence.pkl,R_Goya8.jpg_persistence.pkl,R_Goya9.jpg_persistence.pkl,R_Klimt1.jpg_persistence.pkl,R_Klimt10.jpeg_persistence.pkl,R_Klimt2.jpg_persistence.pkl,R_Klimt3.jpg_persistence.pkl,R_Klimt4.jpg_persistence.pkl,R_Klimt5.jpg_persistence.pkl,R_Klimt6.jpg_persistence.pkl,R_Klimt7.jpg_persistence.pkl,R_Klimt8.jpg_persistence.pkl,R_Klimt9.jpg_persistence.pkl,R_Mithila1.jpg_persistence.pkl,R_Mithila10.jpg_persistence.pkl,R_Mithila2.jpg_persistence.pkl,R_Mithila3.jpg_persistence.pkl,R_Mithila4.jpeg_persistence.pkl,R_Mithila5.jpg_persistence.pkl,R_Mithila6.jpg_persistence.pkl,R_Mithila7.jpeg_persistence.pkl,R_Mithila8.jpeg_persistence.pkl,R_Mithila9.jpg_persistence.pkl,R_Raja1.jpg_persistence.pkl,R_Raja10.jpg_persistence.pkl,R_Raja2.jpg_persistence.pkl,R_Raja3.jpg_persistence.pkl,R_Raja4.jpg_persistence.pkl,R_Raja5.jpeg_persistence.pkl,R_Raja6.jpg_persistence.pkl,R_Raja7.jpg_persistence.pkl,R_Raja8.jpg_persistence.pkl,R_Raja9.jpg_persistence.pkl,R_Ren1.jpg_persistence.pkl,R_Ren10.jpg_persistence.pkl,R_Ren2.jpg_persistence.pkl,R_Ren3.jpg_persistence.pkl,R_Ren4.jpg_persistence.pkl,R_Ren5.jpg_persistence.pkl,R_Ren6.jpg_persistence.pkl,R_Ren7.jpg_persistence.pkl,R_Ren8.jpg_persistence.pkl,R_Ren9.jpeg_persistence.pkl,R_Robert1.jpg_persistence.pkl,R_Robert10.jpg_persistence.pkl,R_Robert2.jpg_persistence.pkl,R_Robert3.jpg_persistence.pkl,R_Robert4.jpg_persistence.pkl,R_Robert5.jpg_persistence.pkl,R_Robert6.jpg_persistence.pkl,R_Robert7.jpg_persistence.pkl,R_Robert8.jpg_persistence.pkl,R_Robert9.jpg_persistence.pkl,R_Sid1.jpeg_persistence.pkl,R_Sid10.jpg_persistence.pkl,R_Sid2.jpeg_persistence.pkl,R_Sid3.jpg_persistence.pkl,R_Sid4.jpg_persistence.pkl,R_Sid5.jpeg_persistence.pkl,R_Sid6.jpeg_persistence.pkl,R_Sid7.jpg_persistence.pkl,R_Sid8.jpg_persistence.pkl,R_Sid9.jpg_persistence.pkl,R_Vin1.jpg_persistence.pkl,R_Vin10.jpg_persistence.pkl,R_Vin2.jpg_persistence.pkl,R_Vin3.jpg_persistence.pkl,R_Vin4.jpg_persistence.pkl,R_Vin5.jpg_persistence.pkl,R_Vin6.jpg_persistence.pkl,R_Vin7.jpg_persistence.pkl,R_Vin8.jpeg_persistence.pkl,R_Vin9.jpg_persistence.pkl
R_Dey1.jpg_persistence.pkl,0.0,4631.5,5589.5,5036.0,7169.5,3411.5,5043.5,11852.5,5311.0,2742.5,6050.5,3960.5,5570.0,5019.0,5730.0,5446.5,6590.0,5717.0,4512.0,6018.5,4648.0,4229.5,3237.0,4385.0,4689.5,7166.0,4133.0,5698.0,5212.5,3891.0,6978.0,9350.5,7712.5,13261.0,9977.0,7085.5,8512.5,9398.5,7156.5,8347.0,15820.0,16072.0,8841.5,14163.5,11000.5,13910.0,12854.0,10924.0,12671.0,7214.0,4768.0,7210.0,4634.0,4619.0,3132.0,2827.5,4535.0,4867.0,4586.0,5659.5,9865.0,6049.5,13264.5,7793.5,5088.0,5174.5,8514.0,2766.0,12158.5,2477.0,5930.0,5432.5,5759.5,6056.5,5952.5,5263.5,6093.0,5694.5,6617.0,6186.0,4855.5,7335.5,5883.5,6362.0,8316.0,5409.5,10254.0,5033.0,11575.5,4895.5,8709.0,7947.5,7055.0,2708.0,6314.0,5552.5,7664.5,8758.5,4056.5,6748.0
R_Dey10.jpeg_persistence.pkl,4631.5,0.0,3263.5,2939.5,4333.5,3027.5,2773.5,13554.0,2636.0,3781.5,5087.5,2543.0,3173.0,3345.5,2389.0,3465.0,5655.5,5619.5,4018.0,4276.0,2981.5,2125.5,3910.5,2257.5,2375.5,8592.5,3684.0,5626.5,4082.5,2766.5,6009.0,10234.5,10121.5,12022.5,6811.0,6939.0,6596.5,6222.5,4996.0,6034.5,14460.0,13153.0,8750.0,13970.5,11901.5,13597.5,10581.0,11783.0,11345.5,4616.0,3188.5,5769.5,1982.0,3984.0,3137.0,3451.0,4488.5,2531.5,3386.0,3673.5,11887.5,5575.5,12357.5,10612.5,5869.5,6880.5,9860.5,5270.0,14867.0,3019.5,3030.0,2327.5,2510.0,2707.0,2956.5,2185.0,2699.5,2334.5,3539.0,4292.0,3813.5,5247.5,4956.0,6115.5,8571.5,7020.5,8859.0,4230.5,10691.0,2525.5,10092.0,9883.0,7663.0,4688.5,6269.0,6314.5,5602.0,11482.0,6169.5,8517.0
R_Dey2.jpg_persistence.pkl,5589.5,3263.5,0.0,2671.0,2408.0,4747.5,3872.5,13019.5,4202.0,4306.5,6574.0,3620.5,3407.5,3958.5,3167.0,4883.0,7238.5,7588.0,5478.5,4710.0,3679.0,3367.5,5466.5,3215.0,3517.5,9760.5,4379.5,7224.5,5331.0,3844.5,3562.5,8711.5,9873.0,11054.5,6715.0,7078.0,6713.0,6565.5,4992.5,5049.0,12440.5,13234.0,7300.5,11707.0,10293.0,13295.0,10867.5,10004.5,9541.5,2874.0,3912.5,5590.5,3521.5,5599.5,4483.0,3954.0,4789.5,4732.5,2703.0,3427.5,13329.5,5442.5,10097.0,10742.5,6330.0,6213.0,8883.5,6355.0,14504.5,3801.5,1707.0,3358.5,2068.5,2906.0,3901.5,3069.5,3554.5,2360.0,4317.0,5238.5,4524.0,5334.0,5045.5,4823.5,8044.5,8150.5,8480.5,4789.0,9255.5,3669.5,11652.5,9008.5,7652.5,5344.0,5653.5,6098.0,6134.5,12348.0,6396.5,7269.0
R_Dey3.jpeg_persistence.pkl,5036.0,2939.5,2671.0,0.0,3030.0,3897.0,3749.0,12060.5,4022.5,3619.5,6102.5,3354.0,2780.0,2947.5,3408.0,4690.5,6105.0,6830.5,4537.0,3579.5,2428.5,2714.5,4544.5,2792.5,3447.5,8747.0,3408.0,6541.0,4719.5,3192.5,4227.0,8222.0,8480.0,10077.0,6244.5,5516.0,5511.0,5814.0,3836.0,4387.5,12259.0,12271.5,6721.0,11677.5,9685.5,11970.5,9810.0,9746.0,9136.5,3554.0,2415.0,4032.5,2659.0,4037.5,3784.5,3388.0,3542.0,3720.5,2399.0,2715.5,12191.5,4105.0,10189.5,9102.0,5677.5,5217.0,7955.5,5624.5,13163.0,3622.0,2399.0,3359.5,2210.5,2977.5,3930.0,3188.0,3396.5,2748.0,3731.5,4146.0,2944.5,4276.5,3872.0,4109.0,6751.5,6856.5,7238.5,3850.0,8632.5,3477.0,10667.5,8131.0,6175.0,4150.5,4651.0,4654.0,4903.0,11034.0,5312.5,6681.0
R_Dey4.jpg_persistence.pkl,7169.5,4333.5,2408.0,3030.0,0.0,6167.5,4939.0,13339.5,5362.0,5602.5,7681.0,5042.5,4144.5,4531.0,3949.0,6040.5,8093.5,9002.5,6599.0,4852.0,4446.0,4571.5,6949.0,4521.0,4801.0,11131.0,5583.5,8648.0,6560.0,5151.0,3001.0,7943.5,9328.5,10264.0,5891.5,7467.0,6683.5,6448.5,4972.5,4219.5,11355.0,12659.0,6412.0,10751.5,9627.5,12898.0,11013.5,9434.0,8534.0,2571.5,4527.0,5472.0,4510.0,6235.0,6033.5,5514.5,5158.5,5506.5,3511.5,3821.5,14612.5,5712.0,9142.0,10860.0,7724.0,6236.5,8238.0,7620.5,14287.5,5469.0,2106.0,4377.0,2580.0,3078.0,4992.5,3633.0,4153.5,2965.0,4611.5,5859.0,4920.0,5745.5,5623.0,4376.0,7735.0,9373.0,8233.5,5732.0,8564.0,4779.0,13038.5,8690.5,7690.0,6265.0,5760.0,6074.0,5358.0,13253.5,7000.0,7356.5
R_Dey5.jpg_persistence.pkl,3411.5,3027.5,4747.5,3897.0,6167.5,0.0,4156.5,12122.0,4237.5,3504.0,5590.0,2843.5,4086.5,3546.0,4494.5,4390.5,5548.0,4866.5,3577.5,4569.5,3449.5,3079.5,2216.0,3342.5,3734.0,6844.0,3228.0,4849.0,3929.5,2670.5,6785.0,9383.0,8576.5,11957.5,8611.5,6431.0,6831.0,7754.5,5654.0,7045.5,14685.0,14133.5,8258.0,13947.5,11683.0,12845.5,10871.0,10829.5,11388.5,6030.0,3575.0,5647.0,3312.5,3895.5,2457.0,2724.0,3776.0,3932.5,4065.5,4391.5,10066.5,5211.0,12669.5,8909.0,5022.5,5673.0,8700.5,4429.0,13174.0,2850.5,4860.5,4210.5,4496.0,4763.0,4755.5,4092.5,4769.0,4435.5,5410.0,4872.5,3661.0,6223.5,5144.5,6510.5,7964.0,5803.5,8965.5,4390.0,10924.5,3896.0,8382.5,8739.5,7016.0,3895.0,5708.0,5785.5,6316.5,9324.5,5307.5,7921.0
R_Dey6.jpg_persistence.pkl,5043.5,2773.5,3872.5,3749.0,4939.0,4156.5,0.0,13617.5,2217.0,4966.0,3578.5,2174.0,2852.0,2645.0,2317.5,2194.0,4570.5,4890.5,3070.5,3736.0,2952.5,2996.5,4567.5,2264.5,1568.5,7850.5,3724.0,4794.5,2916.5,2373.0,6516.0,10149.5,10947.0,11539.0,7203.0,7360.0,6262.5,6423.0,4951.5,6425.5,14716.5,13138.0,8741.0,14308.0,12668.0,13464.0,10276.0,12017.0,11558.5,5040.0,3601.5,5824.0,2239.5,4102.0,3140.0,3847.5,4672.5,3417.5,4212.5,4468.0,11401.5,5948.0,12983.5,11117.0,5763.5,7531.5,10223.0,5608.5,15464.0,3724.0,3436.5,2247.5,2922.5,2927.0,2565.0,2033.0,2773.5,2650.5,3115.5,3348.5,4768.5,5619.5,5003.0,7257.0,9241.0,6573.5,9428.5,4384.0,11227.0,2347.5,9657.0,9840.0,7489.0,5508.0,6022.5,6336.5,7200.0,12611.5,6859.5,9208.5
R_Dey7.jpeg_persistence.pkl,11852.5,13554.0,13019.5,12060.5,13339.5,12122.0,13617.5,0.0,13893.5,11790.0,13695.0,12611.0,12708.5,11949.0,14823.0,12911.0,12590.0,11021.5,12063.0,12062.0,11916.5,12621.5,10907.5,13019.5,13606.0,8651.0,11622.0,10908.5,11889.5,12273.0,12954.5,10485.0,9421.0,15110.5,17240.0,12404.5,13789.0,16790.5,13696.0,14052.5,17123.5,21242.0,10401.0,16087.0,15261.5,11804.5,16915.5,11198.5,13707.0,13329.5,12108.0,11366.0,13383.0,11897.5,11684.0,11539.5,10675.5,14025.5,12365.0,12782.0,9744.5,11776.5,16902.0,8291.0,9971.0,9034.5,9097.5,11146.5,11904.0,12307.5,12907.0,14252.0,13256.5,13879.5,14960.5,14238.5,14804.5,13554.5,13416.5,12850.5,11992.5,14650.5,13098.5,12412.5,11240.5,11632.0,15471.0,12825.0,16039.0,14174.0,11280.5,7799.0,11227.0,10979.0,10124.0,10320.0,14223.0,11440.5,11484.0,12248.0
R_Dey8.jpg_persistence.pkl,5311.0,2636.0,4202.0,4022.5,5362.0,4237.5,2217.0,13893.5,0.0,5102.0,4213.5,2329.0,3016.5,3412.5,2516.5,1893.0,4568.0,4694.0,3858.5,3985.0,3324.0,3300.5,4937.0,2416.0,1512.0,8007.5,3640.0,4773.5,3172.5,2788.5,7059.0,10977.0,11555.5,12205.5,7712.0,7752.5,7295.0,7135.5,5529.0,7048.0,15608.5,13954.5,9748.5,15071.5,13075.0,14178.5,11197.0,12691.0,12401.5,5524.5,4067.5,6345.5,2652.0,4848.5,3433.0,4011.5,5321.0,3360.0,4549.0,4826.0,11818.5,6571.0,13560.0,11678.0,5865.5,7937.5,10889.5,6208.0,15853.5,3680.5,3748.0,1969.0,3373.0,3276.0,2617.0,2287.5,3120.0,2974.5,3370.0,3959.5,5188.5,6061.5,5858.5,7459.0,9925.0,7519.5,9958.0,4966.0,11904.5,2586.0,10496.5,10596.5,7730.5,5900.5,6268.5,7045.5,7176.0,12915.5,7181.5,9648.0
R_Dey9.jpg_persistence.pkl,2742.5,3781.5,4306.5,3619.5,5602.5,3504.0,4966.0,11790.0,5102.0,0.0,6752.5,3748.5,4621.0,4313.5,5091.0,5617.5,7062.0,6679.5,4951.5,5369.0,4012.5,3596.5,3585.5,3881.5,4532.0,7964.5,3489.0,6611.0,5385.0,3658.5,5172.0,8396.5,7644.0,12060.0,8742.5,5952.5,7615.0,8244.0,5956.5,6913.5,13895.0,14729.0,7495.5,12080.0,9468.0,13215.0,11733.5,9777.0,10777.5,5641.0,3930.0,6062.5,3987.5,5031.5,3336.0,2405.5,4092.0,4541.0,3251.5,4421.5,11054.0,5100.5,11232.0,7929.0,5546.5,4501.0,7630.5,4049.0,12091.0,2213.5,4712.0,4813.0,4632.5,5130.5,5487.5,4657.5,5271.5,4778.0,5762.5,5886.0,4131.5,6248.0,5145.5,4538.0,6796.0,6032.0,8801.5,4624.5,9909.5,4576.5,9794.5,7400.5,6606.5,2730.5,5695.5,4971.5,6479.0,8728.0,3473.5,5853.0
